Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Microsoft Application Virtualization 5.1,for Remote Desktop Services,Original Release,,Fixed,01/11/2015,14/04/2026,-133,Out of Support
,Microsoft Application Virtualization 5.1,for Windows Desktops,Original Release,,Fixed,01/11/2015,14/04/2026,-133,Out of Support
,Microsoft Application Virtualization Hosting 4.5 for Windows Desktops,for Windows Desktops,Original Release,,Fixed,23/11/2008,11/01/2011,-5705,Out of Support
,Microsoft Application Virtualization Hosting 4.5 for Windows Desktops,for Windows Desktops,Service Pack 1,,Fixed,13/12/2009,11/10/2011,-5432,Out of Support
,Microsoft Application Virtualization Hosting 4.5 for Windows Desktops,for Windows Desktops,Service Pack 2,,Fixed,15/08/2010,08/01/2019,-2786,Out of Support
,Microsoft Application Virtualization Hosting 4.6 for Windows Desktops,for Windows Desktops,Original Release,,Fixed,27/05/2010,10/04/2012,-5250,Out of Support
,Microsoft Application Virtualization Hosting 4.6 for Windows Desktops,for Windows Desktops,Service Pack 1,,Fixed,26/01/2011,08/10/2013,-4704,Out of Support
,Microsoft Application Virtualization Hosting 4.6 for Windows Desktops,for Windows Desktops,Service Pack 2,,Fixed,01/10/2012,13/01/2015,-4242,Out of Support
,Microsoft Application Virtualization Hosting 4.6 for Windows Desktops,for Windows Desktops,Service Pack 3,,Fixed,02/12/2013,14/07/2020,-2233,Out of Support
,Microsoft Application Virtualization Hosting 5.0 for Windows Desktops,for Windows Desktops,Original Release,,Fixed,01/11/2012,08/07/2014,-4431,Out of Support
,Microsoft Application Virtualization Hosting 5.0 for Windows Desktops,for Windows Desktops,Service Pack 1,,Fixed,10/04/2013,13/01/2015,-4242,Out of Support
,Microsoft Application Virtualization Hosting 5.0 for Windows Desktops,for Windows Desktops,Service Pack 2,,Fixed,08/11/2013,12/01/2016,-3878,Out of Support
,Microsoft Application Virtualization Hosting 5.0 for Windows Desktops,for Windows Desktops,Service Pack 3,,Fixed,08/12/2014,14/04/2026,-133,Out of Support
,Microsoft Application Virtualization Hosting 5.1 for Windows Desktops,for Windows Desktops,Original Release,,Fixed,01/11/2015,14/04/2026,-133,Out of Support
,Microsoft Azure Virtual Machine (classic),,Original Release,,Modern,07/06/2012,01/09/2023,-1089,Out of Support
,Microsoft BitLocker Administration and Monitoring 1.0,,Original Release,,Fixed,03/08/2011,14/09/2021,-1806,Out of Support
,Microsoft BitLocker Administration and Monitoring 2.0,,Original Release,,Fixed,16/05/2013,13/01/2015,-4242,Out of Support
,Microsoft BitLocker Administration and Monitoring 2.0,,Service Pack 1,,Fixed,02/12/2013,11/07/2023,-1141,Out of Support
,Microsoft BitLocker Administration and Monitoring 2.5,,Original Release,,Fixed,01/05/2014,11/10/2016,-3605,Out of Support
,Microsoft BitLocker Administration and Monitoring 2.5,,Service Pack 1,,Fixed,03/08/2015,14/04/2026,-133,Out of Support
,Microsoft BizTalk Accelerator for Financial Services 1.0,Enterprise,Original Release,,Fixed,12/03/2003,09/04/2013,-4886,Out of Support
,Microsoft BizTalk Accelerator for Financial Services 1.0,Standard,Original Release,,Fixed,12/03/2003,09/04/2013,-4886,Out of Support
,Microsoft BizTalk Accelerator for HIPAA 2.0,Enterprise,Original Release,,Fixed,15/02/2003,09/04/2013,-4886,Out of Support
,Microsoft BizTalk Accelerator for HIPAA 2.0,Standard,Original Release,,Fixed,15/02/2003,09/04/2013,-4886,Out of Support
,Microsoft BizTalk Accelerator for HIPAA 3.0,Enterprise,Original Release,,Fixed,28/12/2004,13/01/2015,-4242,Out of Support
,Microsoft BizTalk Accelerator for HIPAA 3.0,Standard,Original Release,,Fixed,28/12/2004,13/01/2015,-4242,Out of Support
,Microsoft BizTalk Accelerator for HL7 1.0,Standard,Original Release,,Fixed,27/05/2004,08/07/2014,-4431,Out of Support
,Microsoft BizTalk Accelerator for RosettaNet 3.0,Enterprise,Original Release,,Fixed,22/02/2005,14/04/2015,-4151,Out of Support
,Microsoft BizTalk Accelerator for RosettaNet 3.0,Standard,Original Release,,Fixed,22/02/2005,14/04/2015,-4151,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.0,Enterprise,Original Release,,Fixed,25/09/2004,14/10/2014,-4333,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.1,Enterprise,Original Release,,Fixed,21/07/2005,14/10/2008,-6524,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.1,Enterprise,Service Pack 1,,Fixed,25/09/2006,13/10/2015,-3969,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.1,Standard,Original Release,,Fixed,21/07/2005,14/10/2008,-6524,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.1,Standard,Service Pack 1,,Fixed,25/09/2006,13/10/2015,-3969,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.3,Enterprise,Original Release,,Fixed,21/06/2006,14/10/2008,-6524,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.3,Enterprise,Service Pack 1,,Fixed,25/09/2006,13/10/2015,-3969,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.3,Standard,Original Release,,Fixed,21/06/2006,14/10/2008,-6524,Out of Support
,Microsoft BizTalk Accelerator for SWIFT 2.3,Standard,Service Pack 1,,Fixed,25/09/2006,13/10/2015,-3969,Out of Support
,Microsoft BizTalk Adapter 2.0,for MSMQ,Original Release,,Fixed,20/10/2004,13/01/2015,-4242,Out of Support
,Microsoft BizTalk Adapter 2.0,for mySAP Business Suite,Original Release,,Fixed,20/10/2004,13/01/2015,-4242,Out of Support
,Microsoft BizTalk Adapter 2.0,for SAP,Original Release,,Fixed,20/10/2004,13/01/2015,-4242,Out of Support
,Microsoft BizTalk Adapters for Host Systems,,Original Release,,Fixed,27/01/2007,11/04/2017,-3423,Out of Support
,Microsoft BizTalk Adapters for Host Systems 2.0,Developer,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,Microsoft BizTalk Adapters for Host Systems 2.0,Standard,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,Microsoft BizTalk FileAct and InterAct Adapters for SWIFT,,Original Release,,Fixed,10/04/2007,11/04/2017,-3423,Out of Support
,Microsoft BizTalk Server 2004,Developer,Original Release,,Fixed,20/05/2004,11/04/2006,-7441,Out of Support
,Microsoft BizTalk Server 2004,Developer,Service Pack 1,,Fixed,18/01/2005,08/01/2008,-6804,Out of Support
,Microsoft BizTalk Server 2004,Developer,Service Pack 2,,Fixed,25/10/2006,08/07/2014,-4431,Out of Support
,Microsoft BizTalk Server 2004,Enterprise,Original Release,,Fixed,20/05/2004,11/04/2006,-7441,Out of Support
,Microsoft BizTalk Server 2004,Enterprise,Service Pack 1,,Fixed,18/01/2005,08/01/2008,-6804,Out of Support
,Microsoft BizTalk Server 2004,Enterprise,Service Pack 2,,Fixed,25/10/2006,08/07/2014,-4431,Out of Support
,Microsoft BizTalk Server 2004,Partner,Original Release,,Fixed,20/05/2004,11/04/2006,-7441,Out of Support
,Microsoft BizTalk Server 2004,Partner,Service Pack 1,,Fixed,18/01/2005,08/01/2008,-6804,Out of Support
,Microsoft BizTalk Server 2004,Partner,Service Pack 2,,Fixed,25/10/2006,08/07/2014,-4431,Out of Support
,Microsoft BizTalk Server 2004,Standard,Original Release,,Fixed,20/05/2004,11/04/2006,-7441,Out of Support
,Microsoft BizTalk Server 2004,Standard,Service Pack 1,,Fixed,18/01/2005,08/01/2008,-6804,Out of Support
,Microsoft BizTalk Server 2004,Standard,Service Pack 2,,Fixed,25/10/2006,08/07/2014,-4431,Out of Support
,Microsoft BizTalk Server 2006,Branch,Original Release,,Fixed,23/06/2006,12/07/2016,-3696,Out of Support
,Microsoft BizTalk Server 2006,Developer,Original Release,,Fixed,23/06/2006,12/07/2016,-3696,Out of Support
,Microsoft BizTalk Server 2006,Enterprise,Original Release,,Fixed,23/06/2006,12/07/2016,-3696,Out of Support
,Microsoft BizTalk Server 2006,Standard,Original Release,,Fixed,23/06/2006,12/07/2016,-3696,Out of Support
,Microsoft BizTalk Server 2006 R2,Branch,Original Release,,Fixed,23/06/2006,12/04/2011,-5614,Out of Support
,Microsoft BizTalk Server 2006 R2,Branch,Service Pack 1,,Fixed,27/04/2010,12/07/2016,-3696,Out of Support
,Microsoft BizTalk Server 2006 R2,Developer,Original Release,,Fixed,23/06/2006,12/04/2011,-5614,Out of Support
,Microsoft BizTalk Server 2006 R2,Developer,Service Pack 1,,Fixed,27/04/2010,12/07/2016,-3696,Out of Support
,Microsoft BizTalk Server 2006 R2,Enterprise,Original Release,,Fixed,23/06/2006,12/04/2011,-5614,Out of Support
,Microsoft BizTalk Server 2006 R2,Enterprise,Service Pack 1,,Fixed,27/04/2010,12/07/2016,-3696,Out of Support
,Microsoft BizTalk Server 2006 R2,Standard,Original Release,,Fixed,23/06/2006,12/04/2011,-5614,Out of Support
,Microsoft BizTalk Server 2006 R2,Standard,Service Pack 1,,Fixed,27/04/2010,12/07/2016,-3696,Out of Support
,Microsoft Business Solutions Business Portal,,Business Solutions Business Portal 1.2,,Fixed,18/07/2003,31/12/2004,-7907,Out of Support
,Microsoft Business Solutions Business Portal,,Business Solutions Business Portal 2.0,,Fixed,01/01/2004,10/04/2007,-7077,Out of Support
,Microsoft Business Solutions Business Portal,,Business Solutions Business Portal 2.5,,Fixed,01/08/2004,08/01/2008,-6804,Out of Support
,Microsoft Business Solutions for Analytics Forecaster 6.7,,Original Release,,Fixed,30/01/2005,14/04/2015,-4151,Out of Support
,Microsoft Business Solutions for Analytics--FRx 6.7 Desktop,,Original Release,,Fixed,30/05/2004,08/07/2014,-4431,Out of Support
,Microsoft Business Solutions--Great Plains 8.0,Standard,Original Release,,Fixed,01/06/2004,13/10/2009,-6160,Out of Support
,Microsoft Business Solutions--Solomon 6.0,,Original Release,,Fixed,30/09/2004,13/10/2009,-6160,Out of Support
,Microsoft C5 4.0,Standard,Original Release,,Fixed,01/03/2006,12/04/2011,-5614,Out of Support
,Microsoft Class Server 3.0,Standard,Original Release,,Fixed,20/08/2003,08/10/2013,-4704,Out of Support
,Microsoft Class Server 4.0,Standard,Original Release,,Fixed,21/02/2005,14/04/2015,-4151,Out of Support
,Microsoft Cloud for Healthcare,,Original Release,,Modern,28/10/2020,31/12/2099,26791,Out of Support
,Microsoft Commerce Server 2007,Developer,Original Release,,Fixed,16/06/2006,08/07/2008,-6622,Out of Support
,Microsoft Commerce Server 2007,Developer,Service Pack 1,,Fixed,22/06/2007,14/07/2009,-6251,Out of Support
,Microsoft Commerce Server 2007,Developer,Service Pack 2,,Fixed,29/05/2008,12/07/2016,-3696,Out of Support
,Microsoft Commerce Server 2007,Enterprise,Original Release,,Fixed,16/06/2006,08/07/2008,-6622,Out of Support
,Microsoft Commerce Server 2007,Enterprise,Service Pack 1,,Fixed,22/06/2007,14/07/2009,-6251,Out of Support
,Microsoft Commerce Server 2007,Enterprise,Service Pack 2,,Fixed,29/05/2008,12/07/2016,-3696,Out of Support
,Microsoft Commerce Server 2007,Standard,Original Release,,Fixed,16/06/2006,08/07/2008,-6622,Out of Support
,Microsoft Commerce Server 2007,Standard,Service Pack 1,,Fixed,22/06/2007,14/07/2009,-6251,Out of Support
,Microsoft Commerce Server 2007,Standard,Service Pack 2,,Fixed,29/05/2008,12/07/2016,-3696,Out of Support
,Microsoft Commerce Server 2009,Enterprise,Original Release,,Fixed,23/04/2009,09/07/2019,-2604,Out of Support
,Microsoft Commerce Server 2009,Standard,Original Release,,Fixed,23/04/2009,09/07/2019,-2604,Out of Support
,Microsoft Commerce Server 2009 R2,Enterprise,Original Release,,Fixed,13/11/2011,09/07/2019,-2604,Out of Support
,Microsoft Commerce Server 2009 R2,Standard,Original Release,,Fixed,13/11/2011,09/07/2019,-2604,Out of Support
,Microsoft Compute Cluster Pack,,Original Release,,Fixed,06/09/2006,08/04/2008,-6713,Out of Support
,Microsoft Compute Cluster Pack,,Service Pack 1,,Fixed,07/03/2007,14/07/2015,-4060,Out of Support
,Microsoft Configuration Manager,,Version 1511,,Modern,08/12/2015,12/07/2022,-1505,Out of Support
,Microsoft Configuration Manager,,Version 1602,,Modern,11/03/2016,11/03/2017,-3454,Out of Support
,Microsoft Configuration Manager,,Version 1606,,Modern,22/07/2016,22/07/2017,-3321,Out of Support
,Microsoft Configuration Manager,,Version 1606 with KB3186654,,Modern,12/10/2016,12/10/2017,-3239,Out of Support
,Microsoft Configuration Manager,,Version 1610,,Modern,18/11/2016,18/11/2017,-3202,Out of Support
,Microsoft Configuration Manager,,Version 1702,,Modern,27/03/2017,27/03/2018,-3073,Out of Support
,Microsoft Configuration Manager,,Version 1706,,Modern,31/07/2017,31/07/2018,-2947,Out of Support
,Microsoft Configuration Manager,,Version 1710,,Modern,20/11/2017,20/05/2019,-2654,Out of Support
,Microsoft Configuration Manager,,Version 1802,,Modern,22/03/2018,22/09/2019,-2529,Out of Support
,Microsoft Configuration Manager,,Version 1806,,Modern,31/07/2018,31/01/2020,-2398,Out of Support
,Microsoft Configuration Manager,,Version 1810,,Modern,27/11/2018,01/12/2020,-2093,Out of Support
,Microsoft Configuration Manager,,Version 1902,,Modern,18/03/2019,27/09/2020,-2158,Out of Support
,Microsoft Configuration Manager,,Version 1906,,Modern,26/07/2019,26/01/2021,-2037,Out of Support
,Microsoft Configuration Manager,,Version 1910,,Modern,29/11/2019,29/05/2021,-1914,Out of Support
,Microsoft Configuration Manager,,Version 2002,,Modern,01/04/2020,01/10/2021,-1789,Out of Support
,Microsoft Configuration Manager,,Version 2006,,Modern,11/08/2020,11/02/2022,-1656,Out of Support
,Microsoft Configuration Manager,,Version 2010,,Modern,30/11/2020,30/05/2022,-1548,Out of Support
,Microsoft Configuration Manager,,Version 2103,,Modern,05/04/2021,05/10/2022,-1420,Out of Support
,Microsoft Configuration Manager,,Version 2107,,Modern,02/08/2021,02/02/2023,-1300,Out of Support
,Microsoft Configuration Manager,,Version 2111,,Modern,01/12/2021,01/06/2023,-1181,Out of Support
,Microsoft Configuration Manager,,Version 2203,,Modern,08/04/2022,06/10/2023,-1054,Out of Support
,Microsoft Configuration Manager,,Version 2207,,Modern,12/08/2022,12/02/2024,-925,Out of Support
,Microsoft Configuration Manager,,Version 2211,,Modern,19/12/2022,05/06/2024,-811,Out of Support
,Microsoft Configuration Manager,,Version 2303,,Modern,10/04/2023,10/10/2024,-684,Out of Support
,Microsoft Configuration Manager,,Version 2309,,Modern,09/10/2023,09/04/2025,-503,Out of Support
,Microsoft Configuration Manager,,Version 2403,,Modern,22/04/2024,22/10/2025,-307,Out of Support
,Microsoft Connected Services Framework 2.5,Order Handling Standard Business Event 2.5,Original Release,,Fixed,26/07/2005,13/10/2015,-3969,Out of Support
,Microsoft Connected Services Framework 2.5,Server,Original Release,,Fixed,26/07/2005,13/10/2015,-3969,Out of Support
,Microsoft Connected Services Framework 2.5,Service Provider,Original Release,,Fixed,26/07/2005,13/10/2015,-3969,Out of Support
,Microsoft Connected Services Framework 3.0,Billing Standard Business Event,Original Release,,Fixed,30/06/2006,12/07/2016,-3696,Out of Support
,Microsoft Connected Services Framework 3.0,Order Handling Standard Business Event,Original Release,,Fixed,30/06/2006,12/07/2016,-3696,Out of Support
,Microsoft Connected Services Framework 3.0,Server,Original Release,,Fixed,30/06/2006,12/07/2016,-3696,Out of Support
,Microsoft Connected Services Framework 3.0,Standard,Original Release,,Fixed,30/06/2006,12/07/2016,-3696,Out of Support
,Microsoft Connected Services Framework 3.0,Standard Server with Standard Business Events,Original Release,,Fixed,30/06/2006,12/07/2016,-3696,Out of Support
,Microsoft Content Management Server 2002,Enterprise,Original Release,,Fixed,31/10/2003,16/09/2004,-8013,Out of Support
,Microsoft Content Management Server 2002,Enterprise,Service Pack 1,,Fixed,16/09/2003,11/07/2006,-7350,Out of Support
,Microsoft Content Management Server 2002,Enterprise,Service Pack 1a,,Fixed,05/11/2003,09/01/2007,-7168,Out of Support
,Microsoft Content Management Server 2002,Enterprise,Service Pack 2,,Fixed,05/11/2005,08/04/2014,-4522,Out of Support
,Microsoft Content Management Server 2002,Standard,Original Release,,Fixed,31/10/2003,16/09/2004,-8013,Out of Support
,Microsoft Content Management Server 2002,Standard,Service Pack 1,,Fixed,16/09/2003,11/07/2006,-7350,Out of Support
,Microsoft Content Management Server 2002,Standard,Service Pack 1a,,Fixed,05/11/2003,09/01/2007,-7168,Out of Support
,Microsoft Content Management Server 2002,Standard,Service Pack 2,,Fixed,05/11/2005,08/04/2014,-4522,Out of Support
,Microsoft Customer Care Framework 2005,,Original Release,,Fixed,05/11/2005,12/04/2016,-3787,Out of Support
,Microsoft Customer Care Framework 2005 .NET 2.0 Edition,,Original Release,,Fixed,11/11/2006,10/01/2017,-3514,Out of Support
,Microsoft Customer Care Framework 2008,,Original Release,,Fixed,01/09/2007,10/10/2017,-3241,Out of Support
,Microsoft Customer Care Framework 2009,,Original Release,,Fixed,18/10/2008,13/04/2010,-5978,Out of Support
,Microsoft Customer Care Framework 2009,,Service Pack 1,,Fixed,31/03/2009,08/01/2019,-2786,Out of Support
,Microsoft Defender for Cloud,,Original Release,,Modern,21/07/2016,31/12/2099,26791,Out of Support
,Microsoft Defender for Endpoint,,Original Release,,Component,02/08/2016,31/12/2099,26791,Out of Support
,Microsoft Defender for IoT,,Original Release,,Modern,04/01/2021,31/12/2099,26791,Out of Support
,Microsoft Deployment Agent 2013,,Original Release,,Fixed,15/01/2014,09/04/2024,-868,Out of Support
,Microsoft Diagnostics and Recovery Toolset 10.0,,Original Release,,Fixed,01/11/2015,14/04/2026,-133,Out of Support
,Microsoft Diagnostics and Recovery Toolset 6.5,,Original Release,,Fixed,03/12/2009,08/01/2019,-2786,Out of Support
,Microsoft Diagnostics and Recovery Toolset 7.0,,Original Release,,Fixed,01/08/2011,12/10/2021,-1778,Out of Support
,Microsoft Diagnostics and Recovery Toolset 8.0,,Original Release,,Fixed,01/11/2012,08/07/2014,-4431,Out of Support
,Microsoft Diagnostics and Recovery Toolset 8.0,,Service Pack 1,,Fixed,10/04/2013,10/01/2023,-1323,Out of Support
,Microsoft Diagnostics and Recovery Toolset 8.1,,Original Release,,Fixed,06/02/2014,09/04/2024,-868,Out of Support
,Microsoft Edge,,Original Release,,Modern,15/01/2020,31/12/2099,26791,Out of Support
,Microsoft Edge Legacy,,Original Release,,Component,29/07/2015,09/03/2021,-1995,Out of Support
,Microsoft Edge WebView2,,Original Release,,Modern,19/10/2020,31/12/2099,26791,Out of Support
,Microsoft Enterprise Desktop Virtualization 1.0,Enterprise,Original Release,,Fixed,03/08/2008,12/04/2011,-5614,Out of Support
,Microsoft Enterprise Desktop Virtualization 1.0,Enterprise,Service Pack 1,,Fixed,01/02/2010,09/10/2018,-2877,Out of Support
,Microsoft Enterprise Desktop Virtualization 2.0,Enterprise,Original Release,,Fixed,10/03/2011,13/04/2021,-1960,Out of Support
,Microsoft Entra Domain Service,,,Support for TLS 1.0/1.1,,,31/08/2025,-359,Out of Support
,Microsoft Excel 2004 for Mac,,Original Release,,Fixed,29/07/2004,10/01/2012,-5341,Out of Support
,Microsoft Forecaster 7.0,,Original Release,,Fixed,30/05/2007,13/01/2009,-6433,Out of Support
,Microsoft Forecaster 7.0,,Service Pack 1,,Fixed,01/11/2007,14/07/2009,-6251,Out of Support
,Microsoft Forecaster 7.0,,Service Pack 2,,Fixed,13/06/2008,13/04/2010,-5978,Out of Support
,Microsoft Forecaster 7.0,,Service Pack 3,,Fixed,31/03/2009,10/07/2012,-5159,Out of Support
,Microsoft Forecaster 7.0,,Service Pack 4,,Fixed,27/06/2011,14/07/2015,-4060,Out of Support
,Microsoft Forecaster 7.0,,Service Pack 5,,Fixed,19/05/2014,09/07/2019,-2604,Out of Support
,Microsoft Forefront Client Security,,Original Release,,Fixed,02/08/2007,14/07/2015,-4060,Out of Support
,Microsoft Forefront Endpoint Protection 2010,,Original Release,,Fixed,31/03/2011,09/07/2019,-2604,Out of Support
,Microsoft Forefront Identity Manager 2010,,Original Release,,Fixed,27/05/2010,11/10/2022,-1414,Out of Support
,Microsoft Forefront Identity Manager 2010 R2,,Original Release,,Fixed,24/07/2012,08/04/2014,-4522,Out of Support
,Microsoft Forefront Identity Manager 2010 R2,,Service Pack 1,,Fixed,15/01/2013,11/10/2022,-1414,Out of Support
,Microsoft Forefront Server Security Management Console,,Original Release,,Fixed,10/01/2008,08/04/2014,-4522,Out of Support
,Microsoft Forefront Threat Management Gateway 2010,Enterprise,Original Release,,Fixed,01/12/2009,12/07/2011,-5523,Out of Support
,Microsoft Forefront Threat Management Gateway 2010,Enterprise,Service Pack 1,,Fixed,07/06/2010,08/01/2013,-4977,Out of Support
,Microsoft Forefront Threat Management Gateway 2010,Enterprise,Service Pack 2,,Fixed,04/10/2011,14/04/2020,-2324,Out of Support
,Microsoft Forefront Threat Management Gateway 2010,Standard,Original Release,,Fixed,01/12/2009,12/07/2011,-5523,Out of Support
,Microsoft Forefront Threat Management Gateway 2010,Standard,Service Pack 1,,Fixed,07/06/2010,08/01/2013,-4977,Out of Support
,Microsoft Forefront Threat Management Gateway 2010,Standard,Service Pack 2,,Fixed,04/10/2011,14/04/2020,-2324,Out of Support
,Microsoft Forefront Threat Management Gateway Web Protection Services,,Original Release,,Fixed,01/12/2009,31/12/2015,-3890,Out of Support
,"Microsoft Forefront Threat Management Gateway, Medium Business Edition",Business,Original Release,,Fixed,12/11/2008,12/11/2018,-2843,Out of Support
,Microsoft Forefront Unified Access Gateway 2010,,Original Release,,Fixed,26/01/2010,11/01/2011,-5705,Out of Support
,Microsoft Forefront Unified Access Gateway 2010,,Service Pack 1,,Fixed,10/12/2010,08/10/2013,-4704,Out of Support
,Microsoft Forefront Unified Access Gateway 2010,,Service Pack 2,,Fixed,06/08/2012,08/04/2014,-4522,Out of Support
,Microsoft Forefront Unified Access Gateway 2010,,Service Pack 3,,Fixed,18/02/2013,13/01/2015,-4242,Out of Support
,Microsoft Forefront Unified Access Gateway 2010,,Service Pack 4,,Fixed,20/11/2013,14/04/2020,-2324,Out of Support
,Microsoft Genomics,,Original Release,,Modern,30/10/2017,06/01/2025,-596,Out of Support
,Microsoft Helmsman 4.0,,Original Release,,Fixed,30/10/2004,14/01/2014,-4606,Out of Support
,Microsoft Host Integration Server 2004,Developer,Original Release,,Fixed,30/10/2004,14/07/2008,-6616,Out of Support
,Microsoft Host Integration Server 2004,Developer,Service Pack 1,,Fixed,15/08/2007,13/01/2015,-4242,Out of Support
,Microsoft Host Integration Server 2004,Enterprise,Original Release,,Fixed,30/10/2004,14/07/2008,-6616,Out of Support
,Microsoft Host Integration Server 2004,Enterprise,Service Pack 1,,Fixed,15/08/2007,13/01/2015,-4242,Out of Support
,Microsoft Host Integration Server 2004,Standard,Original Release,,Fixed,30/10/2004,14/07/2008,-6616,Out of Support
,Microsoft Host Integration Server 2004,Standard,Service Pack 1,,Fixed,15/08/2007,13/01/2015,-4242,Out of Support
,Microsoft Host Integration Server 2006,Developer,Original Release,,Fixed,27/01/2007,12/04/2011,-5614,Out of Support
,Microsoft Host Integration Server 2006,Developer,Service Pack 1,,Fixed,29/01/2010,11/04/2017,-3423,Out of Support
,Microsoft Host Integration Server 2006,Standard,Original Release,,Fixed,27/01/2007,12/04/2011,-5614,Out of Support
,Microsoft Host Integration Server 2006,Standard,Service Pack 1,,Fixed,29/01/2010,11/04/2017,-3423,Out of Support
,Microsoft Host Integration Server 2009,,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,Microsoft Host Integration Server 2010,,Original Release,,Fixed,14/11/2010,12/01/2021,-2051,Out of Support
,Microsoft Host Integration Server 2013,,Original Release,,Fixed,20/11/2013,09/01/2024,-959,Out of Support
,Microsoft Identity Integration Server 2003,Enterprise,Original Release,,Fixed,26/09/2003,10/01/2006,-7532,Out of Support
,Microsoft Identity Integration Server 2003,Enterprise,Service Pack 1,,Fixed,10/01/2005,08/04/2008,-6713,Out of Support
,Microsoft Identity Integration Server 2003,Enterprise,Service Pack 2,,Fixed,30/03/2007,08/10/2013,-4704,Out of Support
,Microsoft Identity Lifecycle Manager 2007,,Feature Pack  1 Service Pack 1,,Fixed,20/04/2010,11/07/2017,-3332,Out of Support
,Microsoft Identity Lifecycle Manager 2007,,Feature Pack 1,,Fixed,30/10/2007,12/07/2011,-5523,Out of Support
,Microsoft Identity Lifecycle Manager 2007,,Original Release,,Fixed,30/06/2007,13/01/2009,-6433,Out of Support
,Microsoft Identity Manager 2016,,Original Release,,Fixed,28/09/2015,10/10/2017,-3241,Out of Support
,Microsoft Identity Manager 2016,,Service Pack 1,,Fixed,20/09/2016,04/11/2020,-2120,Out of Support
,Microsoft Integration Designer 2.5,,Original Release,,Fixed,30/05/2006,11/07/2017,-3332,Out of Support
,Microsoft Intelligent Application Gateway 2007,,Original Release,,Fixed,01/06/2007,14/10/2008,-6524,Out of Support
,Microsoft Intelligent Application Gateway 2007,,Service Pack 1,,Fixed,03/09/2007,12/01/2010,-6069,Out of Support
,Microsoft Intelligent Application Gateway 2007,,Service Pack 2,,Fixed,27/11/2008,11/07/2017,-3332,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Enterprise,Original Release,,Fixed,08/09/2004,11/03/2006,-7472,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Enterprise,Service Pack 1,,Fixed,11/03/2005,10/04/2007,-7077,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Enterprise,Service Pack 2,,Fixed,31/01/2006,13/01/2009,-6433,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Enterprise,Service Pack 3,,Fixed,29/10/2007,14/04/2015,-4151,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Standard,Original Release,,Fixed,08/09/2004,11/03/2006,-7472,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Standard,Service Pack 1,,Fixed,11/03/2005,10/04/2007,-7077,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Standard,Service Pack 2,,Fixed,31/01/2006,13/01/2009,-6433,Out of Support
,Microsoft Internet Security and Acceleration Server 2004,Standard,Service Pack 3,,Fixed,29/10/2007,14/04/2015,-4151,Out of Support
,Microsoft Internet Security and Acceleration Server 2006,Enterprise,Original Release,,Fixed,17/10/2006,14/07/2009,-6251,Out of Support
,Microsoft Internet Security and Acceleration Server 2006,Enterprise,Service Pack 1,,Fixed,02/07/2008,10/01/2017,-3514,Out of Support
,Microsoft Internet Security and Acceleration Server 2006,Standard,Original Release,,Fixed,17/10/2006,14/07/2009,-6251,Out of Support
,Microsoft Internet Security and Acceleration Server 2006,Standard,Service Pack 1,,Fixed,02/07/2008,10/01/2017,-3514,Out of Support
,Microsoft iSCSI Software Target 3.3,,Original Release,,Component,20/12/2010,08/10/2019,-2513,Out of Support
,Microsoft Kubernetes Configuration Extension,,,Azure App Service on Arc-enabled Kubernetes,,,31/03/2026,-147,Out of Support
,Microsoft Lync 2010,Attendant,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
,Microsoft Lync 2010,Attendee,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
,Microsoft Lync 2010,Group Chat,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
,Microsoft Lync 2010,Standard,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
,Microsoft Lync for Mac 2011,,Original Release,,Fixed,09/12/2010,09/10/2018,-2877,Out of Support
,Microsoft Lync Phone Edition,,Original Release,,Fixed,25/01/2011,11/04/2023,-1232,Out of Support
,Microsoft Lync Server 2010,Enterprise,Original Release,,Fixed,25/01/2011,13/04/2021,-1960,Out of Support
