Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Azure Virtual Machine,,Original Release,,Modern,07/06/2012,31/12/2099,26791,Out of Support
,BizTalk Adapter for MQSeries 2005,,Original Release,,Fixed,10/12/2004,31/12/2014,-4255,Out of Support
,BizTalk Adapter for Web Services Enhancement 2.0,,Original Release,,Fixed,10/05/2005,12/07/2016,-3696,Out of Support
,BizTalk Adapter for Web Services Enhancement 2.0,,Service Pack 1,,Fixed,12/05/2006,12/07/2016,-3696,Out of Support
,BizTalk Server 2009,Branch,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,BizTalk Server 2009,Developer,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,BizTalk Server 2009,Enterprise,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,BizTalk Server 2009,Enterprise RFID,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,BizTalk Server 2009,Standard,Original Release,,Fixed,21/06/2009,09/07/2019,-2604,Out of Support
,BizTalk Server 2010,Branch,Original Release,,Fixed,14/11/2010,12/01/2021,-2051,Out of Support
,BizTalk Server 2010,Developer,Original Release,,Fixed,14/11/2010,12/01/2021,-2051,Out of Support
,BizTalk Server 2010,Enterprise,Original Release,,Fixed,14/11/2010,12/01/2021,-2051,Out of Support
,BizTalk Server 2010,Enterprise RFID,Original Release,,Fixed,14/11/2010,12/01/2021,-2051,Out of Support
,BizTalk Server 2010,Standard,Original Release,,Fixed,14/11/2010,12/01/2021,-2051,Out of Support
,BizTalk Server 2013,Branch,Original Release,,Fixed,12/06/2013,11/07/2023,-1141,Out of Support
,BizTalk Server 2013,Developer,Original Release,,Fixed,12/06/2013,11/07/2023,-1141,Out of Support
,BizTalk Server 2013,Enterprise,Original Release,,Fixed,12/06/2013,11/07/2023,-1141,Out of Support
,BizTalk Server 2013,Standard,Original Release,,Fixed,12/06/2013,11/07/2023,-1141,Out of Support
,BizTalk Server 2013 R2,Branch,Original Release,,Fixed,31/07/2014,11/07/2023,-1141,Out of Support
,BizTalk Server 2013 R2,Developer,Original Release,,Fixed,31/07/2014,11/07/2023,-1141,Out of Support
,BizTalk Server 2013 R2,Enterprise,Original Release,,Fixed,31/07/2014,11/07/2023,-1141,Out of Support
,BizTalk Server 2013 R2,Standard,Original Release,,Fixed,31/07/2014,11/07/2023,-1141,Out of Support
,Classic Application Gateway,,Classic Application Gateway,,Modern,21/11/2017,31/08/2024,-724,Out of Support
